462,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,1,1,2,
1,530,6,15,1,9,2,0,1,0,0,2,1,1,2,4,0,0,2,0,
1,10,503,23,1,19,2,0,0,0,0,7,1,1,0,2,0,0,1,0,
0,10,4,546,4,4,6,2,0,0,0,0,3,0,1,2,0,2,2,1,
2,5,2,7,540,3,1,0,2,0,0,2,1,2,2,3,0,1,1,0,
0,11,8,1,2,552,0,0,1,1,0,2,0,1,1,0,1,0,1,0,
2,3,2,34,6,2,451,17,1,3,3,16,15,5,4,5,5,1,7,0,
1,0,0,3,1,2,3,571,1,1,0,1,0,0,0,1,1,1,3,1,
0,1,0,1,1,0,4,1,573,0,0,0,0,2,0,2,6,1,3,0,
0,3,0,1,0,1,1,3,0,577,4,0,0,1,0,1,2,0,0,0,
1,0,1,2,0,1,0,2,0,0,583,1,0,0,0,1,0,3,2,0,
0,2,0,0,0,0,0,0,0,0,0,578,0,1,0,0,3,1,5,0,
1,4,0,15,5,0,3,2,0,0,1,5,545,2,2,1,2,0,2,0,
1,1,0,0,0,1,0,1,0,0,0,1,2,577,0,5,2,0,1,0,
2,2,0,1,0,1,0,1,0,0,0,1,0,2,577,1,0,1,2,0,
2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,587,1,3,2,0,
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,535,2,3,0,
2,1,0,0,0,0,0,0,0,1,1,1,0,2,0,5,0,540,5,0,
2,2,0,0,0,0,0,0,0,1,0,3,0,1,0,1,2,2,444,0,
25,0,0,0,0,0,0,0,1,0,0,0,0,0,1,37,15,5,4,287,
